Cable System Name,Operators,Known Users (ASes),Length of Cable System (km),Sources,Connecting cables,Landing Point 1,Landing Point 2,Landing Point 3,Landing Point 4,Landing Point 5,Landing Point 6,Landing Point 7,Landing Point 8,Landing Point 9,Landing Point 10,Landing Point 11,Landing Point 12,Landing Point 13,Landing Point 14,Landing Point 15,Landing Point 16,Landing Point 17,Landing Point 18,Landing Point 19,Landing Point 20,Landing Point 21,Landing Point 22,Segment 1,Segment 1 Length (km),Segment 1 Predicted RTT (ms),Segment 2,Segment 2 Length (km),Segment 2 Predicted RTT (ms),Segment 3,Segment 3 Length (km),Segment 4,Segment 4 Length (km),Segment 4 Predicted RTT (ms),Segment 5,Segment 5 Length (km),Segment 5 Predicted RTT (ms),Segment 6,Segment 6 Length (km),Segment 6 Predicted RTT (ms),Segment 7,Segment 7 Length (km),Segment 7 Predicted RTT (ms),Segment 8,Segment 8 Length (km),Segment 8 Predicted RTT (ms),Segment 9,Segment 9 Length (km),Segment 9 Predicted RTT (ms),Segment 10,Segment 10 Length (km),Segment 10 Predicted RTT (ms),Segment 11,Segment 11 Length (km),Segment 11 Predicted RTT (ms),Segment 12,Segment 12 Length (km),Segment 12 Predicted RTT (ms),Segment 13,Segment 13 Length (km),Segment 13 Predicted RTT (ms),Segment 14,Segment 14 Length (km),Segment 14 Predicted RTT (ms),Segment 15,Segment 15 Length (km),Segment 15 Predicted RTT (ms),Segment 16,Segment 16 Length (km),Segment 16 Predicted RTT (ms),Segment 17,Segment 17 Length (km),Segment 17 Predicted RTT (ms),Segment 18,Segment 18 Length (km),Segment 18 Predicted RTT (ms)
northern-lights,BT,,67,https://www.infrapedia.com/subsea-cable/northern-lights,,"Dunnet Head, United Kingdom","Skaill, United Kingdom",,,,,,,,,,,,,,,,,,,,,"Dunnet Head, United Kingdom; Skaill, United Kingdom",67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
northstar,Alaska Communications,,3229,https://www.submarinecablemap.com/submarine-cable/northstar,"Hillsboro, OR","Lena Point, AK","Valdez, AK","Whittier, AK",,,,,,,,,,,,,,,,,,,,"Hillsboro, OR; Whittier, AK",,,"[Hillsboro, OR; Whittier, AK]; Lena Point, AK",,,"Whittier, AK; Valdez, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nzadi-cable-system,"Kakike, Lda., KumoxiCom, Lda.",,950,https://www.infrapedia.com/subsea-cable/nzadi-cable-system,,"Cabinda, Angola","Luanda, Angola","Soyo, Angola",,,,,,,,,,,,,,,,,,,,"Luanda, Angola; Cabinda, Angola",,,"[Luanda, Angola; Cabinda, Angola]; Soyo, Angola",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
okinawa-cellular-cable,Okinawa Cellular Telephone Company,,760,https://www.infrapedia.com/subsea-cable/okinawa-cellular-cable,,"Kagoshima, Japan","Nago, Japan",,,,,,,,,,,,,,,,,,,,,"Kagoshima, Japan; Nago, Japan",760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oman-australia-cable-oac,SUBCO,Oman Telecommunications Company (Omantel),11000,https://www.submarinecablemap.com/submarine-cable/oman-australia-cable-oac,,"Perth, Australia","Diego Garcia, British Indian Ocean Territory","West Island, Cocos (Keeling) Islands","Barka, Oman","Salalah, Oman",,,,,,,,,,,,,,,,,,"Barka, Oman; Diego Garcia, British Indian Ocean Territory",,,"Diego Garcia, British Indian Ocean Territory; Perth, Australia",,,"[Diego Garcia, British Indian Ocean Territory; Perth, Australia]; West Island, Cocos (Keeling) Islands",,"[Barka, Oman; Diego Garcia, British Indian Ocean Territory]; Salalah, Oman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omranepeg-cable-system,"Oman Telecommunications Company (Omantel), Vodafone Carrier Services",,600,"https://www.infrapedia.com/subsea-cable/omranepeg-cable-system,https://www.submarinenetworks.com/en/systems/intra-asia/omran",Europe-Persia Express Gateway (EPEG) cable system,"Barka, Oman","Chabahar, Iran","Diba, Oman","Jask, Iran","Khasab, Oman",,,,,,,,,,,,,,,,,,"Khasab, Oman; Diba, Oman",,,"Diba, Oman; Barka, Oman",,,"[Diba, Oman; Barka, Oman]; Jask, Iran",,"Barka, Oman; Chabahar, Iran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oran-valencia-orval,Algerie Telecom,,770,"https://www.submarinenetworks.com/en/systems/asia-europe-africa/alval-orval,https://www.infrapedia.com/subsea-cable/alger-valencia-alvaloran-valencia-orval",,"Algiers, Algeria","Oran, Algeria","Valencia, Spain",,,,,,,,,,,,,,,,,,,,"Oran, Algeria; Valencia, Spain",560,,"[Oran, Algeria; Valencia, Spain]; Algiers, Algeria",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oteglobe-kokkini-bari,OTEGlobe,,700,"https://www.infrapedia.com/subsea-cable/oteglobe-kokkini-bari,https://www.submarinenetworks.com/en/systems/intra-europe/oteglobe-kokkini-bari",,"Bari, Italy","Kokkini, Greece",,,,,,,,,,,,,,,,,,,,,"Bari, Italy; Kokkini, Greece",350,,"Kokkini, Greece; Bari, Italy",350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pacific-caribbean-cable-system-pccs,"C&W Networks, Setar, Telconet, Telxius, United Telecommunication Services (UTS)",,6000,"https://www.infrapedia.com/subsea-cable/pacific-caribbean-cable-system-pccs,https://www.submarinenetworks.com/en/systems/brazil-us/pccs/pccs-overview",,"Jacksonville, FL","Tortola, the British Virgin Island","San Juan, Puerto Rico, US","Hudishibana, Aruba","Cartagena, Colombia","Maria Chiquita, Panama","Balboa, Panama","Manta, Ecuador","Mahuma, Cura̤ao",,,,,,,,,,,,,,"Jacksonville, FL; Tortola, the British Virgin Island",,,"Tortola, the British Virgin Island; Hudishibana, Aruba",,,"[Tortola, the British Virgin Island; Hudishibana, Aruba]; Cartagena, Columbia",,"[[Tortola, the British Virgin Island; Hudishibana, Aruba]; Cartagena, Columbia]; Maria Chiquita, Panama",,,"Balboa, Panama; Manta, Ecuador",,,"Hudishibana, Aruba; Mahuma, Cura̤ao",,,"Tortola, the British Virgin Island; San Juan, Puerto Rico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pacific-crossing-1-pc-1,"NTT, Amazon, Facebook, PCCW Global, PLDT, SoftBank","Zayo, Tata Communications, Global Secure Layer",21000,"https://www.submarinenetworks.com/en/systems/trans-pacific/pc-1/pc-1-cable-system, https://go.zayo.com/Zayo_Network_Capabilities_Mapbook, https://www.zayo.com/newsroom/zayo-unveils-latest-series-of-infrastructure-expansions/, https://www.tatacommunications.com/map/",,"Ajigaura, Japan","Shima, Japan","Harbour Pointe, WA, US","Grover Beach, CA, US",,,,,,,,,,,,,,,,,,,"Ajigaura, Japan; Shima, Japan",,,"Ajigaura, Japan; Harbour Pointe, WA, US",,,"Harbour Pointe, WA, US; Grover Beach, CA, US",,"Grover Beach, CA, US; Shima, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
